"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,005,25,017,MA,"Middlesex County",29,43,1303,
09,005,09,011,CT,"New London County",28,42,1333,
09,005,36,047,NY,"Kings County",25,53,3982,
09,005,36,081,NY,"Queens County",22,45,751,
09,005,36,079,NY,"Putnam County",19,36,1013,
09,005,25,013,MA,"Hampden County",18,36,611,
09,005,36,103,NY,"Suffolk County",18,23,1958,
09,005,36,005,NY,"Bronx County",17,32,609,
09,005,06,037,CA,"Los Angeles County",16,25,661,
09,005,25,009,MA,"Essex County",16,31,863,
09,005,36,021,NY,"Columbia County",15,33,676,
09,005,36,059,NY,"Nassau County",15,34,1172,
09,005,12,011,FL,"Broward County",14,20,348,
09,005,25,027,MA,"Worcester County",14,29,626,
09,005,06,073,CA,"San Diego County",13,25,418,
09,005,12,095,FL,"Orange County",13,23,258,
09,005,17,031,IL,"Cook County",13,27,783,
09,005,33,015,NH,"Rockingham County",12,25,562,
09,005,25,015,MA,"Hampshire County",11,16,199,
09,005,25,025,MA,"Suffolk County",11,13,626,
09,005,12,099,FL,"Palm Beach County",10,13,259,
09,005,58,000,SS,"Other Flows - Same State",10,23,256,
09,005,59,000,DS,"Other Flows - Diff State",968,1877,46070,
09,005,59,001,DS,"Other Flows - Northeast",357,714,19175,
09,005,59,003,DS,"Other Flows - Midwest",112,255,6804,
09,005,59,005,DS,"Other Flows - South",334,621,13789,
09,005,59,007,DS,"Other Flows - West",165,287,6302,
09,005,57,009,FR,"Foreign - Other flows",39,77,2005,
09,007,96,000,CT,"Middlesex Count Tot Mig-US & For",4621,7730,216636,
09,007,97,000,CT,"Middlesex Count Tot Mig-US",4537,7615,215634,
09,007,97,001,CT,"Middlesex Count Tot Mig-Same St",3065,5105,148079,
09,007,97,003,CT,"Middlesex Count Tot Mig-Diff St",1472,2510,67555,
09,007,98,000,CT,"Middlesex Count Tot Mig-Foreign",84,115,1002,
09,007,09,007,CT,"Middlesex Count Non-Migrants",57565,121709,3136476,
09,007,09,003,CT,"Hartford County",1237,1984,55815,
09,007,09,009,CT,"New Haven County",1087,1882,49739,
09,007,09,011,CT,"New London County",335,589,15310,
09,007,09,001,CT,"Fairfield County",173,288,18369,
09,007,09,013,CT,"Tolland County",132,195,4625,
09,007,09,005,CT,"Litchfield County",61,100,2602,
